ID,Start_Node,End_Node,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,Section,Type
1373235,3,1,-6.645905268213429e-37,-1.7179723723779495e-49,6.475128476034473e-20,-1.0102091702383871e-16,-2.61140161728331e-29,9.842519685039221,HP 200x53,Column
1383927,3,2,2.590051373626829e-20,7.766405787079058e-31,1.2950257284652704e-20,19.68503937008074,5.030004190942349e-14,9.842519685039218,W 250x17.9,Column
1384604,17,3,-19.685039370079746,6.33867935871265e-14,-9.84251968503877,9.947598300641403e-13,1.1368683549654999e-13,4.476419235288631e-13,W 250x17.9,Column
1384711,17,4,-19.72030839895114,6.350166498050103e-14,-9.84251968503877,-19.72030839895114,6.3501664980501e-14,4.511946372076636e-13,HP 200x53,Column
1385673,6,5,39.37007874016149,-1.267735871742594e-13,6.475128476034473e-20,39.37007874016149,-1.2677358717425942e-13,9.842519685039221,HP 200x53,Column
1385674,6,2,39.37007874016149,-1.267735871742594e-13,1.2950257284652704e-20,19.685039370080748,5.03000419094235e-14,9.842519685039218,W 250x17.9,Column
1385676,18,6,59.05511811024123,-1.9016038076138588e-13,-9.84251968503877,39.370078740160494,-1.308675167770299e-14,4.476419235288631e-13,W 250x17.9,Column
1385677,18,7,59.09038713911263,-1.9027264537836518e-13,-9.84251968503877,59.09038713911263,-1.902726453783652e-13,4.511946372076636e-13,HP 200x53,Column
1386124,1,10,-0.0073419301205104575,2.494476377884093e-17,9.830482578246288,19.685039370080744,5.003425751532066e-14,19.68503937007838,W 250x17.9,Column
1386125,5,10,39.37007874016149,-1.2677358717425936e-13,9.842519685039221,19.68503937008074,5.00342575153207e-14,19.685039370078375,W 250x17.9,Column
1386169,2,10,19.68503937008074,5.030004190942349e-14,9.842519685039218,19.685039370080755,5.03000419094235e-14,19.68503937007879,HP 200x53,Column
1386370,4,8,-19.720308398951126,6.350166498050098e-14,6.564252743815722e-14,-19.720308398951126,6.350166498050095e-14,9.842519685039287,HP 200x53,Column
1386768,1,12,1.5901029275910398e-14,-5.122665503278945e-29,9.842519685038774,1.580000835888656e-14,-7.734067120562255e-29,19.685039370077995,HP 200x53,Column
1387320,8,11,-19.720308398951126,1.7759545182556734e-13,9.842519685039287,-19.72030839895111,1.7759545182556729e-13,19.68503937007852,HP 200x53,Column
1388261,4,1,-19.72030839895114,6.383768280084891e-14,6.248160639922862e-14,-0.05934324245646749,1.1394987226223736e-13,9.830482578246249,W 250x17.9,Column
1388487,7,5,59.055118110242134,-1.8982366283912064e-13,6.217248937900877e-14,39.37007874016149,-1.2677358717425936e-13,9.842519685039221,W 250x17.9,Column
1388596,8,12,-19.72030839895114,1.7759545182556739e-13,9.842519685038774,-0.03526902886946459,1.1387194031616652e-13,19.685039370078456,W 250x17.9,Column
1388667,7,13,59.09038713911258,-1.9027264537836503e-13,-4.814615474219429e-14,59.09038713911261,-1.9027264537836516e-13,9.842519685039173,HP 200x53,Column
1388668,5,16,39.37007874016147,-1.2677358717425934e-13,9.842519685038717,39.370078740161496,-1.2677358717425947e-13,19.685039370077938,HP 200x53,Column
1388673,13,15,59.09038713911261,-7.617885853329876e-14,9.842519685039173,59.09038713911262,-7.617885853329881e-14,19.685039370078407,HP 200x53,Column
1388676,13,16,59.09038713911262,-7.617885853329885e-14,9.84251968503866,39.40534776903098,-1.312878286843441e-14,19.6850393700784,W 250x17.9,Column
